WARN   | wrapper  | main    | 2019/03/22 17:55:25.232 | Unable to write to the configured log directory: /opt/CXCOMM181100P_1-70004085/hybris/log/tomcat (Permission denied)
WARN   | wrapper  | main    | 2019/03/22 17:55:25.232 |   The Wrapper may also have problems writing or rolling the log file.
WARN   | wrapper  | main    | 2019/03/22 17:55:25.232 |   Please make sure that the current user has read/write access.
WARN   | wrapper  | main    | 2019/03/22 17:55:25.232 | Unable to write to the configured log file: /opt/CXCOMM181100P_1-70004085/hybris/log/tomcat/console-20190322.log (Permission denied)
WARN   | wrapper  | main    | 2019/03/22 17:55:25.232 |   Falling back to the default file in the current working directory: wrapper.log
STATUS | wrapper  | main    | 2019/03/22 17:55:25.233 | WARNING: Could not write lock file /opt/CXCOMM181100P_1-70004085/hybris/data/hybristomcat.lock: Permission denied
STATUS | wrapper  | main    | 2019/03/22 17:55:25.233 | --> Wrapper Started as Daemon
STATUS | wrapper  | main    | 2019/03/22 17:55:25.234 | Java Service Wrapper Professional Edition 64-bit 3.5.29
STATUS | wrapper  | main    | 2019/03/22 17:55:25.234 |   Copyright (C) 1999-2016 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | main    | 2019/03/22 17:55:25.234 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | main    | 2019/03/22 17:55:25.234 |   Licensed to SAP SE for hybris Platform
STATUS | wrapper  | main    | 2019/03/22 17:55:25.234 | 
STATUS | wrapper  | main    | 2019/03/22 17:55:25.539 | Launching a JVM...
WARN   | wrapper  | main    | 2019/03/22 17:55:25.540 | Unable to write the Java PID file: /opt/CXCOMM181100P_1-70004085/hybris/data/hybristomcat.java.pid
WARN   | wrapper  | main    | 2019/03/22 17:55:25.540 | Unable to write the Java Id file: /opt/CXCOMM181100P_1-70004085/hybris/data/hybristomcat.java.id
INFO   | jvm 1    | main    | 2019/03/22 17:55:25.741 | WrapperManager: Initializing...
INFO   | jvm 1    | main    | 2019/03/22 17:55:26.243 | Mar 22, 2019 5:55:26 PM org.apache.coyote.AbstractProtocol init
INFO   | jvm 1    | main    | 2019/03/22 17:55:26.243 | INFO: Initializing ProtocolHandler ["http-nio-9001"]
INFO   | jvm 1    | main    | 2019/03/22 17:55:26.243 | Mar 22, 2019 5:55:26 PM org.apache.tomcat.util.net.NioSelectorPool getSharedSelector
INFO   | jvm 1    | main    | 2019/03/22 17:55:26.243 | INFO: Using a shared selector for servlet write/read
INFO   | jvm 1    | main    | 2019/03/22 17:55:26.243 | Mar 22, 2019 5:55:26 PM org.apache.coyote.AbstractProtocol init
INFO   | jvm 1    | main    | 2019/03/22 17:55:26.243 | INFO: Initializing ProtocolHandler ["https-jsse-nio-9002"]
INFO   | jvm 1    | main    | 2019/03/22 17:55:26.543 | Mar 22, 2019 5:55:26 PM org.apache.tomcat.util.net.NioSelectorPool getSharedSelector
INFO   | jvm 1    | main    | 2019/03/22 17:55:26.543 | INFO: Using a shared selector for servlet write/read
INFO   | jvm 1    | main    | 2019/03/22 17:55:26.543 | Mar 22, 2019 5:55:26 PM org.apache.coyote.AbstractProtocol init
INFO   | jvm 1    | main    | 2019/03/22 17:55:26.543 | INFO: Initializing ProtocolHandler ["ajp-nio-8009"]
INFO   | jvm 1    | main    | 2019/03/22 17:55:26.543 | Mar 22, 2019 5:55:26 PM org.apache.tomcat.util.net.NioSelectorPool getSharedSelector
INFO   | jvm 1    | main    | 2019/03/22 17:55:26.544 | INFO: Using a shared selector for servlet write/read
INFO   | jvm 1    | main    | 2019/03/22 17:55:26.544 | Mar 22, 2019 5:55:26 PM org.apache.catalina.startup.Catalina load
INFO   | jvm 1    | main    | 2019/03/22 17:55:26.544 | INFO: Initialization processed in 605 ms
INFO   | jvm 1    | main    | 2019/03/22 17:55:26.544 | Mar 22, 2019 5:55:26 PM org.apache.catalina.mbeans.JmxRemoteLifecycleListener createServer
INFO   | jvm 1    | main    | 2019/03/22 17:55:26.544 | INFO: The JMX Remote Listener has configured the registry on port [9003] and the server on port [9004] for the [Platform] server
INFO   | jvm 1    | main    | 2019/03/22 17:55:26.544 | Mar 22, 2019 5:55:26 PM org.apache.catalina.core.StandardService startInternal
INFO   | jvm 1    | main    | 2019/03/22 17:55:26.544 | INFO: Starting service [Catalina]
INFO   | jvm 1    | main    | 2019/03/22 17:55:26.544 | Mar 22, 2019 5:55:26 PM org.apache.catalina.core.StandardContext postWorkDirectory
INFO   | jvm 1    | main    | 2019/03/22 17:55:26.544 | WARNING: Failed to create work directory [/opt/CXCOMM181100P_1-70004085/hybris/bin/platform/tomcat/work/Catalina/localhost/medias] for context [/medias]
INFO   | jvm 1    | main    | 2019/03/22 17:55:26.544 | Mar 22, 2019 5:55:26 PM org.apache.catalina.core.StandardContext postWorkDirectory
INFO   | jvm 1    | main    | 2019/03/22 17:55:26.544 | WARNING: Failed to create work directory [/opt/CXCOMM181100P_1-70004085/hybris/bin/platform/tomcat/work/Catalina/localhost/hac_junit] for context [/hac_junit]
INFO   | jvm 1    | main    | 2019/03/22 17:55:26.544 | Mar 22, 2019 5:55:26 PM org.apache.catalina.core.StandardContext postWorkDirectory
INFO   | jvm 1    | main    | 2019/03/22 17:55:26.544 | WARNING: Failed to create work directory [/opt/CXCOMM181100P_1-70004085/hybris/bin/platform/tomcat/work/Catalina/localhost/test] for context [/test]
INFO   | jvm 1    | main    | 2019/03/22 17:55:26.544 | Mar 22, 2019 5:55:26 PM org.apache.catalina.core.StandardContext postWorkDirectory
INFO   | jvm 1    | main    | 2019/03/22 17:55:26.544 | WARNING: Failed to create work directory [/opt/CXCOMM181100P_1-70004085/hybris/bin/platform/tomcat/work/Catalina/localhost/processing] for context [/processing]
INFO   | jvm 1    | main    | 2019/03/22 17:55:26.544 | Mar 22, 2019 5:55:26 PM org.apache.catalina.core.StandardContext postWorkDirectory
INFO   | jvm 1    | main    | 2019/03/22 17:55:26.544 | WARNING: Failed to create work directory [/opt/CXCOMM181100P_1-70004085/hybris/bin/platform/tomcat/work/Catalina/localhost/ROOT] for context []
INFO   | jvm 1    | main    | 2019/03/22 17:55:26.544 | Mar 22, 2019 5:55:26 PM org.apache.catalina.core.StandardContext postWorkDirectory
INFO   | jvm 1    | main    | 2019/03/22 17:55:26.544 | WARNING: Failed to create work directory [/opt/CXCOMM181100P_1-70004085/hybris/bin/platform/tomcat/work/Catalina/localhost/authorizationserver_junit] for context [/authorizationserver_junit]
INFO   | jvm 1    | main    | 2019/03/22 17:55:26.544 | Mar 22, 2019 5:55:26 PM org.apache.catalina.core.StandardContext postWorkDirectory
INFO   | jvm 1    | main    | 2019/03/22 17:55:26.544 | WARNING: Failed to create work directory [/opt/CXCOMM181100P_1-70004085/hybris/bin/platform/tomcat/work/Catalina/localhost/authorizationserver] for context [/authorizationserver]
INFO   | jvm 1    | main    | 2019/03/22 17:55:27.946 | log4j:ERROR setFile(null,true) call failed.
